Group,ExpId,Id,SntId,Sentence,Labels,Distractor,Critical
A,gv,23,gv4,The smart students often opt to talk to a counselor.,det1 adj1 noun1 adv1 verb1 to verb to2 det2 noun2,x-x-x kueezest incenged china troy baby wood etc died penetrate.,6
B,gv,24,gv4,The smart students often opt to speak to a counselor.,det1 adj1 noun1 adv1 verb1 to verb to2 det2 noun2,x-x-x kueezest incenged china troy baby wood etc died penetrate.,6
D,gv,25,gv5,The company told customers to go write an email.,det1 noun1a verb1 noun1b to go verb det2 noun2,x-x-x mastorred luvad achieve pre nor yeah miss saint.,6
C,gv,26,gv5,The company told customers to go send an email.,det1 noun1a verb1 noun1b to go verb det2 noun2,x-x-x mastorred luvad achieve pre nor yeah miss saint.,6
B,gv,27,gv5,The company told customers to write an email.,det1 noun1a verb1 noun1b to verb det2 noun2,x-x-x mastorred luvad achieve pre yeah miss saint.,5
A,gv,28,gv5,The company told customers to send an email.,det1 noun1a verb1 noun1b to verb det2 noun2,x-x-x mastorred luvad achieve pre yeah miss saint.,5
D,gv,29,gv6,The website has a button to go write a message.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x punthins tuk else afford kids glad never etc realize.,7
C,gv,30,gv6,The website has a button to go send a message.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x punthins tuk else afford kids glad never etc realize.,7
B,gv,31,gv6,The website has a button to write a message.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x punthins tuk else afford kids never etc realize.,6
A,gv,32,gv6,The website has a button to send a message.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x punthins tuk else afford kids never etc realize.,6
A,gv,33,gv7,The engineer instructed the apprentice to go check the valve.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x sowthink breathstites he worsen anti vs worst dab unite.,7
B,gv,34,gv7,The engineer instructed the apprentice to go test the valve.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x sowthink breathstites he worsen anti vs worst dab unite.,7
C,gv,35,gv7,The engineer instructed the apprentice to check the valve.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x sowthink breathstites he worsen anti worst dab unite.,6
D,gv,36,gv7,The engineer instructed the apprentice to test the valve.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x sowthink breathstites he worsen anti worst dab unite.,6
A,gv,37,gv8,The engineer taught the apprentice to go check the valve.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x critecrus tuncown they seriously deal anti lived can unite.,7
B,gv,38,gv8,The engineer taught the apprentice to go test the valve.,det1 noun1 verb1 det2 noun2 to go verb det3 noun3,x-x-x critecrus tuncown they seriously deal anti lived can unite.,7
C,gv,39,gv8,The engineer taught the apprentice to check the valve.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x critecrus tuncown they seriously deal lived can unite.,6
D,gv,40,gv8,The engineer taught the apprentice to test the valve.,det1 noun1 verb1 det2 noun2 to verb det3 noun3,x-x-x critecrus tuncown they seriously deal lived can unite.,6
A,md,1,md1,The new measures will probably help to reduce the strain.,det1 adj1 noun1 mod adv verb to2 verb2 det2 noun2,x-x-x scyne hoseream hell watching yeah guy speaks gone relied.,5
B,md,2,md1,The new measures will help to reduce the strain.,det1 adj1 noun1 mod verb to2 verb2 det2 noun2,x-x-x scyne hoseream hell yeah guy speaks gone relied.,4
C,md,3,md2,The majority of people will probably believe the rumors.,det1 noun1a of1 noun1b mod adv verb det2 noun2,x-x-x sedgewest nilt anyway they exciting amazing thing booked.,6
D,md,4,md2,The majority of people will believe the rumors.,det1 noun1a of1 noun1b mod verb det2 noun2,x-x-x sedgewest nilt anyway they amazing thing booked.,5
B,md,5,md3,The successful company will perhaps continue with the production of toys.,det1 adj1 noun1 mod adv verb prep2 det2 noun2a of2 noun2b,x-x-x outspritch suntick holy reasons catholic fell yeah everywhere lord bend.,5
A,md,6,md3,The successful company will continue with the production of toys.,det1 adj1 noun1 mod verb prep2 det2 noun2a of2 noun2b,x-x-x outspritch suntick holy catholic fell yeah everywhere lord bend.,4
D,md,7,md4,The angry customer will perhaps write a letter of complaint.,det1 adj1 noun1 mod adv verb det2 noun2a of2 noun2b,x-x-x trucsers clatepser holy billion miles lake afford pre peninsula.,5
C,md,8,md4,The angry customer will write a letter of complaint.,det1 adj1 noun1 mod verb det2 noun2a of2 noun2b,x-x-x trucsers clatepser holy miles lake afford pre peninsula.,4
C,md,9,md5,The proposed solutions would eventually make customer safety the new norm.,det1 adj1 noun1 mod adv verb noun2a noun2b det3 adj3 noun3,x-x-x struelchest froteng sweet healthcare lady never behalf sun ago vain.,5
D,md,10,md5,The proposed solutions would make customer safety the new norm.,det1 adj1 noun1 mod verb noun2a noun2b det3 adj3 noun3,x-x-x struelchest froteng sweet lady never behalf sun ago vain.,4
A,md,11,md6,The inquisitive teacher would eventually hear about the incident.,det1 adj1 noun1 mod adv verb prep2 det2 noun2,x-x-x sapecreen chrignum weird industries anti seems lord moreover.,5
B,md,12,md6,The inquisitive teacher would hear about the incident.,det1 adj1 noun1 mod verb prep2 det2 noun2,x-x-x sapecreen chrignum weird anti seems lord moreover.,4
D,md,13,md7,The new law would already require a lot of cooperation.,det1 adj1 noun1 mod adv verb det2 noun2a of2 noun2b,x-x-x crote geaty crazy awesome dressed ago yeah sir understands.,5
C,md,14,md7,The new law would require a lot of cooperation.,det1 adj1 noun1 mod verb det2 noun2a of2 noun2b,x-x-x crote geaty crazy dressed ago yeah sir understands.,4
B,md,15,md8,The vast majority would already use the new technology.,det1 adj1 noun1 mod adv verb det2 adj2 noun2,x-x-x plunn sustrant funny anymore took hurt sir appreciate.,5
A,md,16,md8,The vast majority would use the new technology.,det1 adj1 noun1 mod verb det2 adj2 noun2,x-x-x plunn sustrant funny took hurt sir appreciate.,4
D,md,17,md9,The smallest crack can actually turn into a large hole.,det1 adj1 noun1 mod adv verb prep2 det2 adj2 noun2,x-x-x clareters mushyl yes watching nobody wish ago weeks whom.,5
C,md,18,md9,The smallest crack can turn into a large hole.,det1 adj1 noun1 mod verb prep2 det2 adj2 noun2,x-x-x clareters mushyl yes nobody wish ago weeks whom.,4
B,md,19,md10,The youngest children can actually like playing the violin.,det1 adj1 noun1 mod adv verb noun2a det2 noun2b,x-x-x flabplaffs smapescreens yeah republic uhm billion map blamed.,5
A,md,20,md10,The youngest children can like playing the violin.,det1 adj1 noun1 mod verb noun2a det2 noun2b,x-x-x flabplaffs smapescreens yeah uhm billion map blamed.,4
C,md,21,md11,The smartest people can increasingly find themselves in big trouble.,det1 adj1 noun1 mod adv verb pron2 prep2 adj2 noun2,x-x-x fratchcully cassing yeah commonwealth okay subsection too came helpful.,5
D,md,22,md11,The smartest people can find themselves in big trouble.,det1 adj1 noun1 mod verb pron2 prep2 adj2 noun2,x-x-x fratchcully cassing yeah okay subsection too came helpful.,4
A,md,23,md12,The innovative professors can increasingly try to teach new methods.,det1 adj1 noun1 mod adv verb to2 verb2 adj2 noun2,x-x-x breamstroughs searthlig luck preparations over ring holds ago carried.,5
B,md,24,md12,The innovative professors can try to teach new methods.,det1 adj1 noun1 mod verb to2 verb2 adj2 noun2,x-x-x breamstroughs searthlign luck over ring holds ago carried.,4
B,md,25,md13,The current situation could easily lead to more problems.,det1 adj1 noun1 mod adv verb to2 adj2 noun2,x-x-x blockfound breamstroug guess winner dear spot they congress.,5
A,md,26,md13,The current situation could lead to more problems.,det1 adj1 noun1 mod verb to2 adj2 noun2,x-x-x blockfound breamstroug guess dear spot they congress.,4
D,md,27,md14,The arrogant nephew could easily appear ungrateful.,det1 adj1 noun1 mod adv verb adj2,x-x-x snowguild spunelves mouth senate occurs topography.,5
C,md,28,md14,The arrogant nephew could appear ungrateful.,det1 adj1 noun1 mod verb adj2,x-x-x snowguild spunelves mouth occurs topography.,4
A,md,29,md15,The attentive assistant could later tell her boss was nervous.,det1 adj1 noun1 mod adv verb comp2 pron2 noun2 verb2 adj2,x-x-x switchblone brounden miles weird anti sell sure holy debates.,5
B,md,30,md15,The attentive assistant could tell her boss was nervous.,det1 adj1 noun1 mod verb comp2 pron2 noun2 verb2 adj2,x-x-x switchblone brounden miles anti sell sure holy debates.,4
C,md,31,md16,The arrogant niece could later look ungrateful.,det1 adj1 noun1 mod adv verb adj2,x-x-x spandash manhet miles china other dealership.,5
D,md,32,md16,The arrogant niece could look ungrateful.,det1 adj1 noun1 mod verb adj2,x-x-x spandash manhet other dealership.,4
A,mc,1,mc1,The comment about his suit made him feel uncomfortable.,det1 noun1 prep2 pron2 noun2 make pron verb adj1,x-x-x prevides penarch grow nobody hell bill anti modifications.,7
D,mc,4,mc1,The comment about his suit made our new colleague feel uncomfortable.,det1 noun1 prep2 pron2 noun2 make pron adj noun verb adj1,x-x-x prevides penarch grow nobody hell bill else enforcing anti modifications.,9
C,mc,5,mc2,The joke about cats makes her laugh hard.,det1 noun1 prep2 noun2 make pron verb adj1,x-x-x lapt champ semi least but islands that.,6
B,mc,8,mc2,The joke about cats made the old man laugh hard.,det1 noun1 prep2 noun2 make det adj noun verb adj1,x-x-x lapt champ semi least yes nor else islands that.,8
B,mc,9,mc3,The suspect managed to make them believe his story.,det1 noun1 verb1 to1 make pron verb pron2 noun2,x-x-x lezulls flysmeat wish yeah hill disease walks click.,6
A,mc,12,mc3,The suspect managed to make the private investigator believe his story.,det1 noun1 verb1 to1 make det adj noun verb pron2 noun2,x-x-x lezulls flysmeat wish yeah kid happens incorporates disease walks click.,8
D,mc,13,mc4,The boss said that we need to make this happen soon.,det1 noun1 verb1 comp2 pron2 verb2 to make pron verb adv3,x-x-x gostles twag mind but anti pre east west cities rose.,9
C,mc,16,mc4,The boss said that we need to make some important changes happen soon.,det1 noun1 verb1 comp2 pron2 verb2 to make det adj noun verb adv3,x-x-x gostles twag mind but anti pre east hill describes becomes cities rose.,11
A,mc,17,mc5,The uncle's behavior last Christmas made me cringe in shame.,det1 noun1a noun1b adv1 noun1c make pron verb prep3 noun3,x-x-x athinned tortuot glad Countries okay may syntax year seeks.,7
D,mc,20,mc5,The uncle's behavior last Christmas made the entire family cringe in shame.,det1 noun1a noun1b adv1 noun1c make det adj noun verb prep3 noun3,x-x-x athinned tortuot glad Countries okay yes except beyond syntax year seeks.,9
C,mc,21,mc6,The sudden sounds always make me shiver.,det1 adj1 noun1 adv1 make pronA verb det2 noun2,x-x-x maching hylgal senate lord fund bidder.,6
B,mc,24,mc6,The sudden sounds always make my jumpy brother shiver.,det1 adj1 noun1 adv1 make pronB adj noun verb det2 noun2,x-x-x maching hylgal senate lord vs cools senator bidder.,8
D,mc,25,mc7,The thought of the upcoming exam makes him sweat already.,det1a noun1a of1 det1b adj1 noun1b make pron verb adv2,x-x-x repings dewt etc reviewed aids weird could creek airport.,8
A,mc,28,mc7,The thought of the upcoming exam makes the nervous student sweat already.,det1a noun1a of1 det1b adj1 noun1b make det adj noun verb adv2,x-x-x repings dewt etc reviewed aids weird yes forever tonight creek airport.,10
B,mc,29,mc8,The cold weather today made her tremble.,det1 adj1 noun1 adv1 make pronA verb,x-x-x bavi noghtsheck thank glad yes forgery.,6
C,mc,32,mc8,The cold weather today made my exposed knees tremble.,det1 adj1 noun1 adv1 make pronB adj noun verb,x-x-x bavi noghtsheck thank glad know justify warns forgery.,8
A,mc,33,mc9,The nosy grandmother made me tell her the secret.,det1 adj1 noun1 make pronA verb pron2 det2 noun2,x-x-x fidands wheensmoght anti yes hill pre etc afford.,5
B,mc,36,mc9,The nosy grandmother made all her grandchildren tell her the secret.,det1 adj1 noun1 make adj pronB noun verb pron3 det3 noun3,x-x-x fidands wheensmoght anti who yes confederation hill door push argued.,7
C,mc,37,mc10,The skillful journalist made her talk about the past.,det1 adj1 noun1 make pron verb prep2 det2 noun2,x-x-x wheetpleads swotchheed luck who yeah shall both none.,5
D,mc,40,mc10,The skillful journalist made the reluctant politician talk about the past.,det1 adj1 noun1 make det adj noun verb prep2 det2 noun2,x-x-x wheetpleads swotchheed luck hill considers determines yeah shall will none.,7
D,mc,41,mc11,The encouragement by teachers made him become an author.,det1 noun1a by noun1b make pron verb det2 noun2,x-x-x shicetreeves snid operated lake yes volume vs missed.,6
A,mc,44,mc11,The encouragement by teachers made the talented teenager become an author.,det1 noun1a by noun1b make det adj noun verb det2 noun2,x-x-x shicetreeves snid operated lake than tolerate hectares volume vs missed.,8
B,mc,45,mc12,The success of his aunt made him start his own company.,det1 noun1a of pron1 noun1b make pron verb pron2 adj2 noun2,x-x-x undreshed dakh guy bless hell yeah month sir etc happens.,7
C,mc,48,mc12,The success of her parents made the talented girl start her own company.,det1 noun1a of pron1 noun1b make det adj noun verb pron2 adj2 noun2,x-x-x undreshed dakh guy bless hell guys goes else month sir etc happens.,9
A,mc,49,mc13,The persuasive activists made them fund the project.,det1 adj1 noun1 make pron verb det2 noun2,x-x-x bremstrough scolfond luck did inch sir anymore.,5
B,mc,52,mc13,The persuasive activists made the technology company fund the project.,det1 adj1 noun1 make det adj noun verb det2 noun2,x-x-x bremstrough scolfond luck along inside lonely inch sir anymore.,7
C,mc,53,mc14,The last pandemic made us store lots of food.,det1 adj1 noun1 make pron verb adv3 of3 noun3,x-x-x enpil hamespain blue call sword ford all low.,5
D,mc,56,mc14,The last pandemic made people at risk store lots of food.,det1 adj1 noun1 make nounA prep nounB verb adv3 of3 noun3,x-x-x enpil hamespain blue posted dad soon sword ford all low.,7
B,mc,57,mc15,The new law made us employ more people.,det1 adj1 noun1 make pron verb adj2 noun2,x-x-x crote geaty wild kid cosmos miss happen.,5
A,mc,60,mc15,The new law made the successful company employ more people.,det1 adj1 noun1 make det adj noun verb adj2 noun2,x-x-x crote geaty wild guys everywhere appears cosmos miss happen.,7
D,mc,61,mc16,The severe economic crisis makes them borrow a lot of money.,det1 adj1 noun1a noun1b make pron verb det2 adv2 of2 noun2,x-x-x broardung champiors ensure wait guys closes god ago soul queen.,6
C,mc,64,mc16,The severe economic crisis makes very poor people borrow a lot of money.,det1 adj1 noun1a noun1b make adv adj noun verb det2 adv2 of2 noun2,x-x-x broardung champiors ensure wait ask walk united closes god ago soul queen.,8
